Comments,Company,Date,GeneralScore,LMScore
"b'$GRWG Revenue run rate guidance in excess of $42 million heading into 2019, $10.0 million for Q4 2018 #Hemp... https://t.co/jflMeYNsez'",$HD,11/28/2018,-0.181818182,-0.090909091
"b'$GRWG Revenue run rate guidance in excess of $42 million heading into 2019, $10.0 million for Q4 2018 #Hemp... https://t.co/D4DtsWXOi0'",$HD,11/28/2018,-0.181818182,-0.090909091
"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 mill... https://t.co/Aionx6m2i3'",$HD,11/28/2018,0.272727273,0
"b'$GRWG Revenue of $8.4 million, up 109%, compared to revenue of $4.0 million for the 3rd quarter of 2017 #Hemp... https://t.co/GxARNMbd8d'",$HD,11/28/2018,0,0
"b'$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabis... https://t.co/Oyc5zruM1F'",$HD,11/28/2018,0,0
"b'$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponics... https://t.co/jFvCxuTKDO'",$HD,11/28/2018,0.090909091,0
"b'$GRWG Three new stores acquired in Q3 2018, one of which was our new e-commerce site, https://t.co/XcWg8PnNdd... https://t.co/uMeyQidwwB'",$HD,11/28/2018,0,0
"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 mill... https://t.co/6cH05Mgz1o'",$HD,11/28/2018,0.272727273,0
"b'$GRWG Darren Lampert, Co-Founder and CEO, said, ""This was another great quarter of growth for GrowGeneration, with... https://t.co/MCqD0lRBwf'",$HD,11/28/2018,0.083333333,0.083333333
"b'$GRWG $ACB GrowGeneration Corp Revenue up 86% to $20.0 million for 9 Months, Aurora Cannabis revenue up 260% year o... https://t.co/iEltCaU3iZ'",$HD,11/28/2018,0,0
b'Closing my $HD position of 1000 shares that was opened today for a 2.68% gain.',$HD,11/28/2018,0.666666667,0.166666667
b'@SunriseTrader  $HD Nice continuation today.',$HD,11/28/2018,0.5,0
b'@TraderAmogh Ty  $HD working for us both. WTG',$HD,11/28/2018,0,0
"b'Yes  , profit taking day $spy $msft $hd  $eww https://t.co/YC4JA46aML'",$HD,11/28/2018,0.125,0.125
b'$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/ClQfmRqRW6',$HD,11/28/2018,-0.166666667,0
b'#Dividend Today\n$AAON $ADI $CWAI $DNBF $ERF $EVRG $FBND $FCOR $FDHY $FLDR $FLTB $GFF $HD $IBD $KCCB $KCNY $LSST... https://t.co/pHZnjRKCnf',$HD,11/28/2018,0,0
b'#estate asset watch- price x volume leaders this morning - $AMZN $AAPL $CRM $AMD $MSFT $BABA $NVDA $NFLX $FB $BA... https://t.co/tTlWOl3aeU',$HD,11/28/2018,0.0625,0
"b""RT @MarketStatisti1: Markets reaction to Chairman Powell's speech on Wednesday? $SPY $DIA $UCO $GLD $IWM $XLF $XLK $XLE $XLU $XLV $XLP $XLY...""",$HD,11/28/2018,0,0
b'$MS $BEN\n$EARN $ONE $ALL $HUBS $AGO\n$I $ATE $HD',$HD,11/28/2018,-0.166666667,0
"b""RT @FoolMCochrane: In 5 yrs time, I doubt we will be thinking about how the #housing cycle was in late '18 or this quarter's margins. No, I...""",$HD,11/28/2018,-0.083333333,-0.272727273
"b'$LOW (@Lowes) is a good company, but its not $HD (@HomeDepot).\n\nhttps://t.co/8JBoACjrBX'",$HD,11/28/2018,0,0.166666667
b'@ljzaz @hks55 $HD',$HD,11/28/2018,0,0
b'@lziics $HD',$HD,11/28/2018,0,0
b'Long 1000 shares of $HD at $171.25 for a swing trade.',$HD,11/28/2018,0.25,0
b'$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/cFrYGKmKlS',$HD,11/28/2018,-0.166666667,0
b'$HD Took some off @ 172.20 . Stop moved on rest to 171.50',$HD,11/28/2018,0.2,-0.25
b'$HD: DEC 175 CALL Activity .. 1k @$3.60 by OFFER .. Expire DEC 28',$HD,11/28/2018,0.285714286,0
b'$PCG $VALE $ROKU $ADSK $BBY $HD $ROKU $NFLX $PYPL lows',$HD,11/28/2018,-0.111111111,0
"b'$HD Due to strong D/T stock may remain oversold for a while; Flat MoMo, S 172.09, close over R 180.27 puts 184.27 i... https://t.co/3xfKL4EevO'",$HD,11/28/2018,0,0
"b'$WMT $HD $AMZN $DLTR $TGT American retailers pressure Chinese suppliers amid tariffs, WSJ reports  Big American ret... https://t.co/fobRKVzEQE'",$HD,11/28/2018,-0.058823529,0
"b'$WMT $HD $AMZN $DLTR $TGT American retailers pressure Chinese suppliers amid tariffs, WSJ reports  Big American ret... https://t.co/eNZPC2Q8qv'",$HD,11/28/2018,-0.058823529,0
b'$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/JeGQyCT3Ne',$HD,11/28/2018,-0.181818182,0
b'$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/1G3JxUcEPX',$HD,11/28/2018,-0.166666667,0
"b""Fundamental research predicted weakness in $HD long in advance, let's start talking about $HUM...""",$HD,11/28/2018,0,0
"b'As Home Depot INC $HD Stock Rose, Hl Financial Services LLC Increased Holding - https://t.co/8XQYCwvoTM'",$HD,11/28/2018,-0.083333333,0
"b'As Home Depot INC $HD Stock Price Rose, Hl Financial Services LLC Has Increased Position - https://t.co/u0eEY0Htis'",$HD,11/28/2018,0,0.083333333
b'Hl Financial Services LLC Maintains Stake in Home Depot INC $HD https://t.co/tyjp7UrIin',$HD,11/28/2018,-0.1,0
b'$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/9BIJ4eLV0M',$HD,11/28/2018,-0.166666667,0
b'Holder Hl Financial Services LLC Lifted Home Depot INC $HD Holding - https://t.co/fgySCA2LbL',$HD,11/28/2018,-0.1,0
b'Stock market awaits Powell speech as equities recover https://t.co/gqUxoIbOR7 via @YouTube\n\n$cl\n$es\n$nq\n$SVXY\n$HD... https://t.co/jekFRZUQSp',$HD,11/28/2018,0.090909091,0
"b'As Home Depot INC $HD Market Valuation Rose, Hl Financial Services LLC Has Raised Holding https://t.co/gg5hQtKLp0'",$HD,11/28/2018,-0.153846154,0
b'Try our swing trading service built for individuals who want to trade longer-term timeframes around their full-time... https://t.co/1zKHaQa9CY',$HD,11/28/2018,0,0
"b""Week's Most Significant #Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTR... https://t.co/QW1TeJEzce""",$HD,11/28/2018,0.076923077,0
b'$WMT $HD $DG - U.S. retailers prep for new tariffs https://t.co/mCF5Vx48LS',$HD,11/28/2018,-0.166666667,0
b'U.S. retailers prep for new tariffs $WMT $HD $TGT $DG https://t.co/rMHWh8peTv https://t.co/6xcOdrg7Up',$HD,11/28/2018,-0.111111111,0
b'$WMT $HD $DG $TGT:\n\nUS retailers prep for new tariffs:\n\nhttps://t.co/pg8daDPJHE',$HD,11/28/2018,0,0
"b'CannaGreed Featured: $GRWG $ACB GrowGeneration Corp Revenue up 86% to $20.0 million for 9 Months, Aurora Cannabis r... https://t.co/npxL1elm2h'",$HD,11/28/2018,0,0
"b'$GRWG $ACB GrowGeneration Corp Revenue up 86% to $20.0 million for 9 Months, Aurora Cannabis revenue up 260% year o... https://t.co/2CKuhIdqfc'",$HD,11/28/2018,0,0
"b'$GRWG Darren Lampert, Co-Founder and CEO, said, ""This was another great quarter of growth for GrowGeneration, with... https://t.co/XPkR1BuHtF'",$HD,11/28/2018,0.083333333,0.083333333
"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 mill... https://t.co/p1okjrmfrd'",$HD,11/28/2018,0.272727273,0
"b'$GRWG Three new stores acquired in Q3 2018, one of which was our new e-commerce site, https://t.co/FRxyGLJPAm... https://t.co/lv7gpsFRAo'",$HD,11/28/2018,0,0
b'(US) U.S. Retailers reportedly take steps to adapt supplies from China - U.S. financial press\n\n- Article piece ment... https://t.co/ESat07n5Pm',$HD,11/28/2018,0,-0.076923077
"b'$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponics... https://t.co/5S1Xa4wqT7'",$HD,11/28/2018,0.090909091,0
"b'$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabis... https://t.co/qceQEPRSa3'",$HD,11/28/2018,0,0
b'$HD may see a sustained bounce here. Low of $167 may be stop-loss floor all traders put in. Heavy volume past two t... https://t.co/UPqrIfJpI9',$HD,11/28/2018,-0.125,0
"b'$GRWG Revenue of $8.4 million, up 109%, compared to revenue of $4.0 million for the 3rd quarter of 2017 #Hemp... https://t.co/3xVpZbj8ll'",$HD,11/28/2018,0,0
"b'$GRWG YTD revenue of $20 million, up 86% compare to YTD revenue of $10.7 million for 2017 #Hemp #Cannabis... https://t.co/yOZHU1IPN8'",$HD,11/28/2018,0,0
"b'$GRWG The Company had $14.3 million in cash and cash equivalents at September 30, 2018 #Hemp #Cannabis #Hydroponics... https://t.co/Gpa9Oo7POi'",$HD,11/28/2018,0.090909091,0
"b'$GRWG As of September 30, 2018, the Company had total assets of $36.2 million compared to total assets of $9.2 mill... https://t.co/q5A7wgmrwR'",$HD,11/28/2018,0.272727273,0
"b'$GRWG Three new stores acquired in Q3 2018, one of which was our new e-commerce site, https://t.co/FRxyGLJPAm... https://t.co/oAnyyUU6fI'",$HD,11/28/2018,0,0
"b'$GRWG Revenue run rate guidance in excess of $42 million heading into 2019, $10.0 million for Q4 2018 #Hemp... https://t.co/PmONTCiuk8'",$HD,11/28/2018,-0.181818182,-0.090909091
b'$AMZN $DLTR $HD $TGT $WMT:\n\nAmerican Retailers Squeeze Chinese Suppliers as Tariffs Start to Hurt:\n\nhttps://t.co/j59qcysJnQ',$HD,11/28/2018,-0.090909091,-0.076923077
b'Want automatic email alerts for $GPN $HD $BSBR $TRQ $LKQ? Subscribe to MarketBeat Daily https://t.co/nSJuDsYidj',$HD,11/28/2018,0.166666667,-0.083333333
b'price x volume leaders Tuesday - $AMZN $AAPL $NFLX $NVDA $MSFT $AMD $BABA $TSLA $FB $UTX $GOOGL $GOOG $ORCL $INTC... https://t.co/o2ewW4EM5j',$HD,11/28/2018,0,0
b'$IM $HD\n$IM $MY $CAB $OUT $HUBS\n$IT $HUM $A $GEL $AT $A $FUR',$HD,11/28/2018,0,0
"b'RT @MttsTrading: MTTS DAILY WATCHLIST FOR NOVEMBER 28TH, 2018 $PRU $HD $BBY $MCHP https://t.co/gjUAogvUHl'",$HD,11/28/2018,0,0
b' #BullMarket  https://t.co/ossd9HUZUl  #2019shift #StockMarketToday  #BearMarket  #StockMarketCrash ... https://t.co/gTivWPbT1b',$HD,11/28/2018,0,0
"b'MTTS DAILY WATCHLIST FOR NOVEMBER 28TH, 2018 $PRU $HD $BBY $MCHP https://t.co/gjUAogvUHl'",$HD,11/28/2018,0,0
b' #BullMarket  https://t.co/VwpCj5f8Rj  #2019shift #StockMarketToday  #BearMarket  #StockMarketCrash ... https://t.co/1pE5p033fP',$HD,11/28/2018,0,0
b'Investors Sell Shares of Home Depot $HD on Strength $HD https://t.co/E1epW83uJL',$HD,11/28/2018,0.142857143,0.142857143
"b""Week's Most Significant Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTR... https://t.co/kt61BoveKU""",$HD,11/28/2018,0.076923077,0
b'Looking to add a bit of $hd to my long portfolio.   Home building sector looking like a decent swing. https://t.co/iKT0refq7B',$HD,11/28/2018,0.076923077,0
b'$HE $STAY $HD\n$I $FLOW $FOR $A $BID\n$HE $FLY $ONE $INN $TOO $LOW',$HD,11/28/2018,-0.111111111,0
b'$HD is in White Marubozu winning 62.86% in the past. https://t.co/aiiBIWSUZm',$HD,11/28/2018,0,0.2
b'RT @dgarciacharts: $HD Daily / Hourly starting to push out of this base. https://t.co/2BKH2ibYUs',$HD,11/28/2018,-0.125,0
b'Great call today on $ASNS. Chat members banking once again. Join our #free discord now https://t.co/GCoRyWinRw $fb... https://t.co/WmfIBld8BM',$HD,11/28/2018,0.153846154,0.071428571
b'RT @cfromhertz: $HD Weekly chart \n- so far holding its top of its yearly value area $162.20 https://t.co/5s90ZgtI49',$HD,11/28/2018,0.090909091,0
"b""Today's Unusual #Options Activity $AKS $GS $DG $HD $SONO $BMY $PCG See the full list at https://t.co/gT09fRkjbi... https://t.co/TFCqEPVL3o""",$HD,11/28/2018,0.166666667,0
b'$HD Weekly chart \n- so far holding its top of its yearly value area $162.20 https://t.co/5s90ZgtI49',$HD,11/28/2018,0.1,0
"b""After days of trying, I couldn't separate the tie.  However, at 1 p.m., I was successful at reducing the upward rat... https://t.co/5xTzzL1oaN""",$HD,11/28/2018,0,0.090909091
"b'As you can see, ETFs have tied $HD to $LOW.  They had a 1:4 upward ratio, so for every 1% $HD increased, $LOW would... https://t.co/Sy8jtvpBu5'",$HD,11/28/2018,-0.083333333,0
b'ACTIVE TRADERS Try one of these FREE trading guides:\n\nhttps://t.co/BYZtw3y64c\n\n$NFLX $TSLA $AAPL $HD $GS $FB $AMZN $GOOGL $NVDA',$HD,11/28/2018,0,0
b'RT @MarketStatisti1: Who will compromise more @ G20 meeting? $spy $dia $uco $iwm $gld $xle $xlk $xlp $xly $xlu $xlf $xlb $xli $xlv $jpm $ca...',$HD,11/28/2018,0.15,-0.05
"b""In 5 yrs time, I doubt we will be thinking about how the #housing cycle was in late '18 or this quarter's margins.... https://t.co/qCv1LnbQOZ""",$HD,11/28/2018,-0.083333333,-0.272727273
b'RT @TraderAmogh: $HD New Swing today. Hard to Ignore the bullish bias in this Stock since past two days.\nLong @ 171.50\nStop @ 166.50 (3% ri...',$HD,11/28/2018,-0.133333333,-0.125
"b""Markets reaction to Chairman Powell's speech on Wednesday? $SPY $DIA $UCO $GLD $IWM $XLF $XLK $XLE $XLU $XLV $XLP... https://t.co/N78xBZLNOR""",$HD,11/28/2018,0,0
"b'Wednesday: $CRM, $ADBE, $HD, $AAPL, $FB'",$HD,11/28/2018,0,0
"b'$HD:\n\nNew Insider Filing on\n\nChairman, CEO &amp; President\n\nCRAIG A MENEAR:\n\nhttps://t.co/WHkqJerCD1'",$HD,11/27/2018,0,0
"b'$HD Home Depot, Inc. (The) SEC Filing: Form 4 https://t.co/MtBBaQep1e'",$HD,11/27/2018,0,0
b'RT @TraderAmogh: $HD New Swing today. Hard to Ignore the bullish bias in this Stock since past two days.\nLong @ 171.50\nStop @ 166.50 (3% ri...',$HD,11/27/2018,-0.133333333,-0.125
b'$GE $X $PGR $FOSL $WFC $PAA $AKS $AA $CRM $DKS $TGT $AMD $X $GILD $BP $GM $HD $NLY $BMY $SONO $DKS $JKS $GS $PSEC U... https://t.co/0jhgcslATM',$HD,11/27/2018,0,0
b'Bought $HD options today for $2.21 febr 19 exp 185 this one looks good for a quick trade tons of bagholders look at... https://t.co/U7T28laDc6',$HD,11/27/2018,0.142857143,0.071428571
b'Sold off a little $HD at the close. Still in the hole on most of he rest. Also underwater on $HBAN. But it was a go... https://t.co/mgZBrceI4M',$HD,11/27/2018,0,-0.090909091
"b'If you can trade #options you should sign up, its very inexpensive #investing #trading #stocks #StockMarket $dia... https://t.co/DOm1SWREiI'",$HD,11/27/2018,0.166666667,0
"b'RT @gurufocus: S&amp;P 500 closes at 2,682.20 for a gain of 0.33% https://t.co/N3Q4cYLYOz  $HD https://t.co/wWdW7yJhBF'",$HD,11/27/2018,0.142857143,0
b'RT @VineelProTrader: $HD Bull put Credit Spread 167.5/165\n14 Dec : \n\nTook 50% (+$540) of max profit in just 5 days. Almost 3 weeks to go fo...',$HD,11/27/2018,0.214285714,0.071428571
b'Nueva posicion alcista en valor del DJIA: $HD https://t.co/jibJ2eDsFm https://t.co/qIHI0SEisk',$HD,11/27/2018,0.125,0
b'RT @AnthonyMaceroni: $HD (updated)... https://t.co/0j3tfAy4XV',$HD,11/27/2018,0,0
"b'S&amp;P 500 closes at 2,682.20 for a gain of 0.33% https://t.co/N3Q4cYLYOz  $HD https://t.co/wWdW7yJhBF'",$HD,11/27/2018,0.2,0
b'RT @MarketStatisti1: What effects to expect from Trump-Xi meeting on markets? $SPY $DIA $GLD $UCO $IWM $XLK $XLE $XLF $XLB $XLI $XLP $XLY $...',$HD,11/27/2018,0.105263158,0.055555556
"b'$HD Up 2.0% Today.\nHome Depot\nValuation, Earnings Quality, and Dividend Safety Scores.\nStock Analysis:... https://t.co/m6vC1HniaW'",$HD,11/27/2018,0.2,0
b'$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/rXBbpDHIu6',$HD,11/27/2018,-0.181818182,0
"b""Week's Most Significant #Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTR... https://t.co/5YNdpufxIO""",$HD,11/27/2018,0.076923077,0
b'RT @VineelProTrader: 1 Day Trade. 2 Swing trades.\n3 Wins.\n\n1) $SPY Calls: +$188 (38%)\n\n2) $AMD Long:  +$198 (10%)\n3) $HD CS (167.5/165): +$...',$HD,11/27/2018,0.090909091,0.1
"b'Tue. Nov. 27, 2018\nTop 5 stocks\nUp:\n$AMZN $TSLA $MA $NVDA $TWLO\n$SAVE $LOXO $VRTX $MXIM $FANG\n$BLMT $CBRL $NFLX $HD... https://t.co/yOM9UYGCmg'",$HD,11/27/2018,0,0
b'Top #moneyflow for #sp500 today\n$MSFT $CTSH $HD $MRK $AAPL $COST $MU $PG $CMCSA $GE ...\nhttps://t.co/S59zN0R1wP',$HD,11/27/2018,-0.111111111,-0.1
"b""A L E R T -Home Depot ($HD) back up to $173.07. Yinz'll recall that for 34 years, if y'all bought $HD on the Thursd... https://t.co/ROVPhrNW35""",$HD,11/27/2018,0.1,-0.1
b'1 Day Trade. 2 Swing trades.\n3 Wins.\n\n1) $SPY Calls: +$188 (38%)\n\n2) $AMD Long:  +$198 (10%)\n3) $HD CS (167.5/165):... https://t.co/UvU2OP2X0O',$HD,11/27/2018,0.1,0.1
b'$HD Bull put Credit Spread 167.5/165\n14 Dec : \n\nTook 50% (+$540) of max profit in just 5 days. Almost 3 weeks to go... https://t.co/nYyQpnw3uk',$HD,11/27/2018,0.214285714,0.071428571
"b""RT @mercadomagico: $NMGC NeoMagic's https://t.co/gzPGOV7s8h #MercadoMagico(R) Waives Fee for New #Merchants\n#WelcomeHome\nhttps://t.co/ctNK4...""",$HD,11/27/2018,0,0
b'#estate asset watch - price x volume leaders today - $AMZN $AAPL $NFLX $NVDA $MSFT $AMD $BABA $TSLA $FB $UTX $GOOGL... https://t.co/gWLcJIN6GR',$HD,11/27/2018,0.055555556,0
"b""RT @SunriseTrader: $HD goes ex dividend tomorrow $1.03 per share.  Some charting and trading platforms will subtract it others won't.  If t...""",$HD,11/27/2018,0.071428571,-0.076923077
"b'RT @VineelProTrader: 5 Day Trades.\n3 Wins, 1 Loss &amp; 1 Breakeven.\n+$502 on those.\n\n1) $HD Long:         -$180\n2) $WYNN Long: +$229\n3) $SPY C...'",$HD,11/27/2018,-0.076923077,0
b'Trade Alert - Buying Calls - HD\n\n19x leverage \n\n$HD',$HD,11/27/2018,0.428571429,-0.2
b'$HD #woke',$HD,11/27/2018,0,0
b'RT @MarketStatisti1: Market close on Tuesday: $SPY $DIA $GLD $UCO $IWM $XLK $XLE $XLF $XLB $XLI $XLP $XLY $XLV $XLU $JPM $BAC $XOM $CVX $CA...',$HD,11/27/2018,0,-0.043478261
b'https://t.co/2TDmbGC8eN $HD Home Depot up 1.6% = $3.2 billion gain. $HD has made notable gains in 10 of the last 21... https://t.co/XZy8bS9lE9',$HD,11/27/2018,0.3,0.2
b'Has Home Depot Stock Bottomed Out? $LOW $WSM $XHB $HD https://t.co/hho4ZmqXEo https://t.co/x20ffSaeN9',$HD,11/27/2018,-0.1,0
b'$HD (updated)... https://t.co/0j3tfAy4XV',$HD,11/27/2018,0,0
b'#estate asset watch - top price gainers today - $BKNG $AZO $CBRL $VRTX $SAVE $CMG $SAM $MELI $CHTR $ABMD $NFLX $MCK... https://t.co/9ZINmiHlbr',$HD,11/27/2018,0.1,0
b'Outside Day today: $TOUR $HD $PSA ... https://t.co/Ya1wmaeD73',$HD,11/27/2018,0,0
"b""$HD goes ex dividend tomorrow $1.03 per share.  Some charting and trading platforms will subtract it others won't.  If trading FYI (holding)""",$HD,11/27/2018,0.0625,-0.066666667
"b""$HD Took off right after entry - 5 min chart shared. Couldn't have timed it more perfectly! Now lets see if it can... https://t.co/nLQo2zuK04""",$HD,11/27/2018,0.133333333,0.071428571
"b""$HD stabilizing, dipped below $170.00 post earnings(11/13); https://t.co/t3qTvyA9Kx, didn't break, encouraging, set... https://t.co/gMOVx730lO""",$HD,11/27/2018,0.090909091,0.1
b'Sarasin &amp; Partners Llp Cut Home Depot $HD Stake; Generation Investment Management Llp Has Trimmed Its Salesforce Co... https://t.co/BoZZg9GEQr',$HD,11/27/2018,0.133333333,-0.0625
b'What could be better than #stocks that help expand your wealth while providing a hedge against economic uncertainty... https://t.co/XYvlizhkR5',$HD,11/27/2018,0.181818182,0.1
b'Brookstone Capital Management Has Upped Pepsico $PEP Position; Jump Trading Cut Home Depot $Call $HD Position https://t.co/piX62H5E2J',$HD,11/27/2018,0.214285714,0.071428571
b'RT @dgarciacharts: $HD Daily / Hourly starting to push out of this base. https://t.co/2BKH2ibYUs',$HD,11/27/2018,-0.125,0
b'$HD Daily / Hourly starting to push out of this base. https://t.co/2BKH2ibYUs',$HD,11/27/2018,-0.142857143,0
b'$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/0iJfeCuKgh',$HD,11/27/2018,-0.181818182,0
b'RT @ntfri: Watch $HD https://t.co/EaakdHKlIG',$HD,11/27/2018,0,0
b'Chances are very high that i will survive lol  $HD',$HD,11/27/2018,0.4,-0.2
b'$HD New Swing today. Hard to Ignore the bullish bias in this Stock since past two days.\nLong @ 171.50\nStop @ 166.50... https://t.co/R6F7mu19o6',$HD,11/27/2018,-0.133333333,-0.133333333
"b""$HD's ROE of 799.70% is amongst the best returns of the industry https://t.co/YKH1M7apkL https://t.co/eckgTScRg3""",$HD,11/27/2018,0.375,0.125
b'Who will compromise more @ G20 meeting? $spy $dia $uco $iwm $gld $xle $xlk $xlp $xly $xlu $xlf $xlb $xli $xlv $jpm... https://t.co/zaVTkT8Jlh',$HD,11/27/2018,0.15,-0.052631579
b'NEXT TRIPS RUNNER. Follow @vipernetworks for updates $msft $amzn $fb $goog $jnj $jpm $googol $abc $wfc $wmt $cvx... https://t.co/EQcY23czhl',$HD,11/27/2018,0,0
b'$HD  https://t.co/wQbfJXicQS',$HD,11/27/2018,0,0
"b'Is $T Going to Burn These Hedge Funds?\nhttps://t.co/vTqSKGUW3R\n$HD, $CVX, $TSM, $CSCO'",$HD,11/27/2018,-0.285714286,-0.142857143
b'Cam Group Holding A Has Trimmed Holding in Home Depot INC $HD as Stock Rose https://t.co/HLOaA7MpG7',$HD,11/27/2018,0,0
b'$HD $Bmark IPT and Guidance:\n3Y +60 down to +50\n10Y +110 to +95\n30Y +145 to +130',$HD,11/27/2018,0,0
"b""RT @Investingcom: If you're looking for dividend growth stocks to build wealth and protect your portfolio then these 2 are definitely wor...""",$HD,11/27/2018,0.153846154,0
b'$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/e5WpbG7s08',$HD,11/27/2018,-0.181818182,0
"b""If you're looking for dividend growth stocks to build wealth and protect your portfolio then these 2 are definite... https://t.co/K6JGhVDrcT""",$HD,11/27/2018,0.166666667,0
b'Some names ex-dividend tomorrow $ADI $HD(holding) $MXIM $SIX  and a few others.',$HD,11/27/2018,0,0
